dialogue,reference,base_summary,fine_tuned_summary
"Freddie: What are you watching on Netflix? I've just finished Mad Men.
Kelly: I've just finished The Crown. 
Freddie: There should be new episodes coming soon.
Kelly: OMG! i can't wait! :)
Freddie: Try Outlander or The Tudors in the meantime.
Jim: i'm watching I, Zombie.
Bob: try Grimm or Sabrina. They're both great!
Kelly: they are all horrible and disgusting! 
Bob: i think they are funny. They're just TV shows don't take them too seriously. x 
Greg: I'm watching House of Cards though must admit the new series is boring.
Mike: i agree. not the same without Kevin Spacey! You should try The West Wing if you enjoy political dramas.
Greg: Netflix original Bodyguard is supposed to be good from what I've heard.
Mary: I'm a bit ashamed to confess i enjoy stuff like Pretty Little Liars or Gossip Girl ;)
Nancy: don't be ashamed i enjoy them too! and my favourite one is Desperate Housewives!!!
Mary: I know! I watched it twice!
Alan: I'm catching up with Friends.
Nancy: OMG! i used to love Friends!","Freddie, Kelly, Jim, Greg, Bob, Mike, Mary, Alan and Nancy are watching different shows on Netflix.",Freddie has just finished Mad Men. Kelly has just finished The Crown. Jim is watching Zombie. Greg is watching House of Cards. Nancy likes Desperate Housewives.,Freddie has just finished Mad Men. Kelly has just finished The Crown. Jim is watching Zombie. Bob and Greg are watching House of Cards.
"Jessica: Hey, you're good with plants, aren't you?
Boston: I guess?
Boston: What's up?
Jessica: I got this plant for my birthday and it's kind of... dying already :(
Boston: Oh... What's the name?
Jessica: That's the thing, nobody knows the name so I can't evne look up how to care for it
Boston: Can you take a photo?
Jessica: <file_photo>
Boston: All right, I looked it up
Boston: <file_other>
Jessica: Oh wow, thanks!
Boston: No problem :) When in doubt, you can do a reverse search on Google Images. Not always accurate but can help a lot in many cases!",Jessica's plant is withering. She doesn't know what plant it is. Boston found it out using Google Images.,Jessica got a plant for her birthday and it's dying. Boston will take a photo of it.,Jessica got a plant for her birthday and it's dying already. Boston will take a photo of it.
"Samantha: How are you doing today?
Robyn: better, but I really exaggerated with bier last night
Samantha: was it really only bier?
Robyn: sure, why?
Samantha: I don't know, your eyes, behaviour
Robyn: you want to say I took drugs?
Samantha: I'm only asking, I don't have anything against drugs
Robyn: but I have and I never take them
Samantha: ok, sorry, I didn't intend to offend you
Robyn: I just drank too much, that's eat
Samantha: much too much
Robyn: yes, I lost control a bit
Robyn: I am sorry for that
Samantha: important that you feel better today",Robyn drank too much beer last night and lost control. She is feeling better today.,Samantha and Robyn are doing better today. Robyn has been drinking too much. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control. Robyn lost control. Samantha lost control.,Samantha and Robyn are doing better today. Robyn drank too much and drank too much.
"Matthew: I have a cold. Need y'all support. It's painful
Lisa: Fight it. Drink orange juice. Make some soup
Matthew: I'll try
Lisa: I believe in u 
Matthew: Thank u. Apparently it's an allergy mixed up with virus
Lisa: Ahh it sucks. 
Lisa: Take a rest from evrthg.  
Matthew: Ikr. Hitting the hay now
Lisa: Good night 'Thew! ",Matthew has a cold. He will drink some orange juice and go to sleep.,Matthew has a cold. He needs y'all support. He'll drink orange juice and make soup. He'll take a rest from evrthg.,Matthew has a cold. He needs y'all support. He'll drink orange juice and make soup.
"Stewart: Can you believe he even said that about the forests? Raking? Really?
Shari: Yes. I can believe that this is an ignorant man. He proves it daily. This just one more example!
Stewart: He just has no clue.
Shari: I mean, there are so many people dead and all he can think to do is criticize the forestry department? With a totally inappropriate suggestion? Puhleeze.
Stewart: I can't wait to vote for anyone else but him.
Shari: I know what you mean. Half my friends voted for him just to see what would happen! Well, guess what?
Stewart: Yeah, but we couldn't go another 4 years with a Democrat. The country would go broke!
Shari: Maybe, but at least we wouldn't be hated around the world and led by an ignorant piece of shit!
Stewart: You've got a point!
Shari: I'm not sure he will finish out his term, with all the legal problems, but he seems to be able to hold off the big stuff. Somehow.
Stewart: I know. How is that even possible?
Shari: I'm not sure. I mean, he's breaking amendments to the constitution here!
Stewart: Only on the fringe.
Shari: Maybe.
Stewart: We have to make the best of it now. Nothing we can do.
Shari: Except vote him out!
Stewart: Exactly. But that's not for a while.
Shari: Closer every day. If only there was a good candidate.
Stewart: From your mouth to the Dem National Committee's ears!
Shari: LOL!
Stewart: We should volunteer. Get out the voters or something.
Shari: Good idea.
Stewart: Let me see what's out there and I'll let you know.
Shari: Great! ",Stewart and Shari find the current president ignorant and incompetent. They hope he gets voted out. Stewart is going to see what possibilities there are of volunteering in the upcoming elections.,"Stewart, Shari and Shari have no clue about the forests. Stewart and Shari think it's an ignorant man who proves it daily. Stewart and Shari are not sure if he will finish out his term with a Democrat. Stewart and Shari are not sure if he will finish out his term with a Democrat. Stewart and Shari are not sure if he will finish out his term with a Democrat","Stewart, Shari and Shari have no clue about the forests. Stewart and Shari are not sure if he will finish out his term with a Democrat. Stewart is not sure if he will finish out his term with a Democrat. Shari is not sure if he will finish out his term with a Democrat."
"Jay: Bro. Have you heard that diamond is in Kenya? 
Joe: Yeah man. I know what you are thinking
Jay: 😂😂  
Joe: Bro. I dont have some cash to buy some tickets for the event.
Jay: Come on! Stop worrying about cash.
Jay: I will lend you then you can refund later.
Joe: Okay.
Jay: And guess what?
Joe: What
Jay: I have convinced Ruth and Paulette to accompany us
Joe: Really?
Jay: Do i look like i am joking😏😏
Joe: It's game on bro!!!!!!
Jay: Yeah. You know me.
Jay: But it is time you start paying me.
Jay: I can't be hooking up you with new girls every time we have a concert.😂
Joe: 😂😂 cut the crap
Joe: Just wait next time. I'll be the one doing the connections.
Jay: Okay. Can't wait.",Jay will lend Joe money for the ticket for the event. Ruth and Paulette will accompany them.,Joe will lend Jay some tickets for the diamond event in Kenya. Joe will lend him some cash. Joe will lend him some tickets for the event. Jay will be the one doing the connections. Joe will be the one doing the connections. Joe will be the one doing the connections. Joe will be the one doing the connections. Joe will be the one doing the connections. Joe will be the one doing the connections. Joe will be the one doing the connections.,Joe will lend Joe some tickets for the diamond event in Kenya. Joe will lend him some tickets for the event. Joe will be the one doing the connections. Jay will be the one doing the connections.
"Lesley: Can you please go on a walk with the dog when you get home?
Chloe: I don't know when I'm going to be home though.
Lesley: What do you mean? Doesn't school finish up at 3PM?
Chloe: Yes, but I was going to go to Megan's house tonight.
Lesley: Chloe, you didn't ask me if you could go. You cannot just assume that you are going. 
Chloe: Mom, seriously. I already told her I was going to come over. 
Lesley: Chloe, your dad has to work late tonight. No one is going to be home for a long time. 
Lesley: Someone needs to come home and let her out. 
Chloe: Mom, you always do this to me. 
Lesley: I am not the one that wanted a dog. You are going to come home and let her out. 
Lesley: And that's that. 
Lesley: You can go out and see Megan afterwards. 
Chloe: Ok. 
Lesley: Thank you. ",Somebody has to take the dog out. Chloe wants to go to Megan tonight and the father has to work late tonight. Chloe will have to come back home to let the dog out and then she can see Megan.,Chloe is going to go on a walk with the dog when she gets home. Chloe is going to go to Megan's house tonight.,Chloe is going to go on a walk with the dog when she gets home. Chloe is going to go to Megan's house tonight.
"Dominique: what's for the test tomorro?
Denise: units 2 and 3
Dominique: ok tx
Denise: np",Denise and Dominique has a test tomorrow on units 2 and 3.,Denise and Dominique are going to test units 2 and 3.,Denise and Dominique are going to test units 2 and 3.
"Lorena: Hi, can you help me with something?
Martin: Well, I can try.
Martin: Depends what it is?
Lorena: I got a new desk and it comes with assembly instructions but I give up, I just can't do it.
Lorena: I'm illiterate when it comes to instructions, haha.
Lorena: So I could really use some help...
Martin: Hmm, I can't today, but how about tomorrow? Shouldn't take long anyway.
Lorena: Yeah, it's fine! I just need it for the weekend, but tomorrow's great! Sorry for troubling you again.
Martin: Don't mention it, we've known each other for so long it's almost like we're siblings, haha.
Lorena: Thanks a lot! I should be home by 6, so let me know when you can.",Martin is going to help Lorena assemble a new desk. He is coming to her house tomorrow.,Lorena got a new desk and it comes with assembly instructions but she can't do it today. Martin can't help her with it today. Lorena should be home by 6.,"Lorena got a new desk and it comes with assembly instructions but she can't do it. Martin can't do it today, but he needs it for the weekend. Lorena should be home by 6."
"Kelly: Should I put on the red dress?
Meghan: oh yes!!!! 
Mary: I'll wear a red dress too, and bright, red lipstick
Kelly: bloody Mary!
Mary: hahahaha",Kelly and Mary will wear red dresses. Mary will wear a red lipstick too. ,Kelly will wear a red dress and bright red lipstick.,Kelly will wear a red dress and bright red lipstick.
"Megan: Are we going to take a taxi to the opera?
Joseph: No, I'll take my car.
Megan: Great, more convenient 
Joseph: ;)",Megan and Joseph will take Joseph's car to the opera.,Joseph will take Megan's car to the opera.,Joseph will take Megan's car to the opera.
"Louis: did you see all the people outside the book shop today?
Louis: it was insane!!!
Sara: YES!!!
Sara: i saw a hugeeeeeeee crowd
Sara: do you know what was going on?
Louis: my friend told me this writer, this new writer...
Louis: i can't remember his name...
Louis: the one that writes about vampires
Sara: dante kyle?
Louis: no, the other one
Sara: cole grant?
Louis: YES!! my friends told me he was there signing copies of his books
Sara: no big loss then
Sara: i'm not a fan of his","There was a crowd outside the bookshop today. Cole Grant, who writes about vampires, was allegedly in the bookshop signing his books.",Louis saw a hugeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,Louis saw a hugeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee
"Josh: Hey..
Michelle: Hi
Josh: so, are we still on for tomorrow night at the movies.
Michelle: Yeah, pick me up at 7
Josh: cool, cant wait,
Michelle: Me too",Michelle and Josh's plan to go to the movies tomorrow night is still valid. Josh will pick Michelle up at 7.,Josh will pick Michelle up at 7. Josh will pick Michelle up at 7.,Josh will pick Michelle up at 7. Josh will pick Michelle up at 7.
"Brandon: Shit, I've lost my credit card!
Brandon: I blocked it in the bank but it will take time before I get a new one
Brandon: can you lend me $ 100 guys?
Luke: sorry man, Im broke:/
Brandon: I see
Ian: what a misfortune, dude
Ian: I can lend you $$, no problem
Brandon: thanks, dude!","Brandon has lost his credit card and blocked it in the bank. It will take some time before he gets a new one, and he needs money. Luke is broke, but Ian will lend Brandon some money.",Brandon has lost his credit card. He blocked it in the bank but it will take time before he gets a new one. Ian will lend him $ 100.,Brandon has lost his credit card. He blocked it in the bank but it will take time before he gets a new one. Ian will lend him $ 100.
"Melody: did you get your computer fixed yet?
Peggy: no, im spending a lot of time using the library computers.
Melody: do they know whats wrong with it? 
Peggy: might be something with the circuit board. they hope to have an answer tomorrow
Melody: thats pretty serious. might be cheaper just to buy a new one
Peggy: thats true. well see.
Melody: if you need to get a new one, i highly recommend the mac model that i have
Peggy: ok, good to know. i'll write if i have any questions
Melody: youre probably due for a new one anyway, no?
Peggy: you're right. 5 years is a long time to own one.
Melody: yes, thats ancient by laptop standards
Peggy: ok. i might just not bother getting it repaired after all.
Melody: sounds like a good idea","Melody's 5-year-old laptop is broken. Tomorrow she'll know what's wrong. She won't be repairing it, because her laptop is too old. Instead, she'll buy a new one.",Peggy is spending a lot of time using library computers. Peggy recommends a new one. Peggy will write if she has any questions.,Peggy is spending a lot of time using library computers. Peggy recommends a new one. Melody will write if she has any questions.
"Rob: hey, pick up your phone :)
Ann: can't - meeting :)
Rob: sorry...
Ann: no problem - super boring one :) 
Ann: what you need babe?
Rob: I'm at the grocery store and was wondering if we need anything
Ann: some food :)
Rob: yeah, I figured that smartass :)
Ann: :*
Rob: details? so that you won't moan we don't have anything to eat :)
Ann: from what I remember we have everything for supper and lunch tomorrow, maybe some fruit and vegetables?
Rob: anything in particular?
Ann: cucumber, tomatoes, bananas, apples and whatever you like
Rob: ok","Rob is doing shopping at the grocery store. Ann ordered him to buy a cucumber, some tomatoes, bananas and apples.",Rob will pick up Ann's phone at the grocery store. Ann has everything for supper and lunch tomorrow. Rob has everything for supper and lunch tomorrow. Ann has everything for supper and lunch tomorrow.,Rob will pick up Ann's phone at the grocery store. Ann has everything for supper and lunch tomorrow.
"Harriette: Have you ever gone ghost hunting? ;o
Jamie: Ghost hunting? Nah, not really... Have you?
Harriette: Yeah, once when I was in high school! There was a run-down building in the neighbourhood and we went to investigate it with my friends
Jamie: How was it? Did you find something?
Harriette: We didn't see any ghosts, haha
Harriette: But let me tell you that I never thought I'd freak out this much at hearing a cat meow
Harriette: There's just something about the atmosphere... that makes you overreact and find normal but unexpected things really creepy
Jamie: I guess that's part of the experience? :p
Harriette: Yeah, if I could choose again, I'd probably still decide to go - I don't regret it! But I definitely wouldn't try something like that alone ^^;",Jamie has never gone ghost hunting but Harriette did with her friends once in high school. They did not see any ghosts and she only got frightened by a cat's miaowing.,Jamie and Harriette went ghost hunting once when they were in high school. They went to investigate a run-down building with their friends. Harriette never thought she would freak out at hearing a cat meow.,Jamie and Harriette went ghost hunting once when they were in high school. They went to investigate a run-down building in the neighbourhood with their friends. Harriette doesn't regret it.
"Stanley: I can’t believe in her…
Bill: What is it? And who?
Stanley: Del, she’s behaving kind of… stupid
Bill: Meaning?
Stanley: I told her I can’t go for this weekend with her because of work
Bill: And? How did she react?
Stanley: She was angry and wouldn’t listen to me. She accused me of having an affair o.O
Bill: You’ve been together for like 4 moths and she’s already doing sth like that???
Stanley: I know, it’s crazy. I starting to give up.
Bill: So what, that’s it?
Stanley: No, I’ll talk to her when she’s back, I’ll tell her it can’t be like this, see what will she say
Bill: Sorry to say that, I don’t think you’ll bring any good news xD
Stanley: Actually, me too. But at least I’ll try
Bill: Well, I’m sorry. We need to take care of the Lidem project right now.
Stanley: Yes I’m finishing the analysis for the pervious one, but it should be done tonight, so I can start working on it today
Bill: The problem is I don’t what you should do ;p
Stanley: whaaat
Bill: The analysis of tasks is not done yet, Alison disappeared from all the media and won’t answer her phone
Stanley: Great. So division of the tasks is on me?
Bill: Yes because I’m already researching when it comes to the funding.
Stanley: We’ll do, it’ll be ready tomorrow, not sure what time.
Bill: OK, keep me posted.
Stanley: Btw, it’s weird that Alison is out of touch
Bill: No at all, it’s not the first time
Stanley: Women…","Del accused Stanley of having an affair, because he couldn't go with her this weekend due to his work. They've only been together for 4 months, so it's not a good sign. Now Bill and Stanley need to take care of the Lidem project. Division of tasks is on Stanley, because Alison is unreachable.",Stanley has been together for 4 moths for a long time. Alison disappeared from all the media and won't answer Bill's phone. Stanley is working on the Lidem project tonight. Alison disappeared from all the media and won't answer Bill's phone.,Alison has been together for 4 moths. Stanley is finishing the analysis for the pervious one. Alison disappeared from all the media and won't answer her phone.
"Quinn: How's it hanging boy?
Kyle: Not bad, going out tonight?
Quinn: Yeah, need to get out after fucking school is actually over for a bit.
Kyle: Christ, yeah! It's a shitting hell hole, can't wait to leave next year, I'm leaving at Easter 😆
Quinn: Lucky you, I've got GCSES. Your a jammy bastard if your parents aren't insisting that you stay on.
Kyle: No point! I'm working for my Uncle Kev at the building site, my cousin was taken on with an apprenticeship in bricklaying last year, maybe do that myself.
Quinn: God, I'm so jealous! I absolutely fucking hate school and I suck at exams too! Need to have them under my belt, they always say.
Kyle: Why don't you talk to them about it?
Quinn: They wouldn't bloody listen! I buggered up my mocks too and I have to retake the subjects I failed in, it never bloody ends!😭
Kyle: Why don't I ask Kev about the site, they always need labourers and they like us young ones cos we're a lot cheaper by the hour lol.
Quinn: Dunno, fucking about in the freezing cold, freezing my arse off, or roasting to death in the bloody summer! Sounds grim!
Kyle: OK, suit yourself! Got any voddy for later?
Quinn: Nah, couldn't get to the offy.
Kyle: They wouldn't serve you anyway, you twat! I'll ask my bro to get us some vodka and cigs, he's cool.
Quinn: Great! Kirsty there tonight, do you know?
Kyle: Dunno, but I heard she was with Nathan Baker these days.
Quinn: That bell end! Huh😒 Well, see you outside the club at 6ish.
Kyle: See you man.","Quinn and Kyle are going out tonight. Kyle is leaving school at Easter to work for his uncle. Quinn's parents want him to retake his GCSEs. Kyle's brother will buy alcohol and cigarettes for them. Their friend, Kirsty, is dating Nathan Baker. Quinn and Kyle will meet around 6 outside the club.",Kyle and Quinn are going out tonight. Kyle is working for his uncle Kev at the building site. Quinn has to retake the subjects he failed in. Kyle will ask Kirsty to get some vodka and cigs. Quinn will see Kirsty outside the club at 6ish.,Kyle and Quinn are going out tonight. Kyle is working for his Uncle Kev at the building site. Quinn has to retake the subjects he failed in. Kyle will ask Kirsty to get some vodka and cigs tonight.
"Petra: I need to sleep, I can't stand how sleepy I am
Andy: I know, and it's so boring today, nobody's working at the office
Ezgi: I am working! lazy pigs
Petra: I'm sleeping with my eyes open, kill me
Andy: ask the fat woman from HR
Petra: she would kill me on spot without batting an eye
Andy: she always repeats she has a black belt in karate 
Petra: it's hard to believe she can move, but let her have whatever belt she wants
Andy: LOL
Petra: sooooo sleepy","Petra is very sleepy at work today, Andy finds the day boring, and Ezgi is working. ",Petra is sleeping with her eyes open. Ezgi is working at the office. Andy asks Petra if she has a black belt in karate.,Petra is sleeping with her eyes open. Andy asks the fat woman from HR to kill her on spot without batting an eye.
"Andrew Simmons: I'm sending you the list (with specific times) for our individual meetings tomorrow. In case you are unable to attend, please let me know as soon as possible.
Andrew Simmons: <file_other>
Samuel Anderson: I have an appointment with a doctor so I won’t be able to come to the meeting.
Andrew Simmons: Then please bring your plan to our next class.
Katherine Jackson: I also won’t be coming, because I have a retake.
Andrew Simmons: Alright. For those who are coming. The meetings will take place in my office, room 104.",The individual meeting with Andrew Simmons takes place tomorrow in room 104. Samuel Anderson and Katherine Jackson won't attend it because he has an appointment and she has a retake.,"Andrew Simmons is sending the list for individual meetings tomorrow. Samuel Anderson has an appointment with a doctor so he won't be able to come to the meeting. Katherine Jackson won't be coming, because he has a retake.","Andrew Simmons is sending the list for individual meetings tomorrow. Samuel Anderson has an appointment with a doctor so he won't be able to come to the meeting. Katherine Jackson won't be coming, because he has a retake."
"Greg: Hi Mum, how's the cat doing?
Patti: I just rang the vets, she's fine!
Greg: Thank God, been worrying about her all day!
Patti: They said I can pick her up later. I'll pop home and fetch the cage after work. Should be there at 5ish.
Greg: Good, see you at home, bye!","Patti and Greg's cat is getting better, so Patti will pick it up later. Patti will come back home at around 5 pm.",Greg's cat is fine. Patti will pick her up later and fetch the cage after work. Patti will pick her up at 5ish.,Greg's cat is fine. Patti will pick her up later. Patti will fetch the cage after work at 5ish.
"Piper: When is the payment expected?
Bryan: I have asked my manager to send the payment
Piper: When would he send it to me?
Bryan: He will send you tonight
Piper: I would be waiting
Bryan: Sure, Client liked your work
Piper: Hope to work with you long term ",Piper will get paid tonight. Client liked Piper's work and wants to work with her on a long-term basis.,Bryan has asked his manager to send the payment to Piper tonight. He will send it to him tonight.,Bryan has asked his manager to send the payment to Piper tonight. He will send it to him tonight.
"Tobias: What do you say, we grab a beer after work or something?
Trevor: You read my mind :P
Tobias: 9 at my place?
Trevor: sounds like a plan",Trevor will meet Tobias at his place at 9 pm.,Trevor and Tobias are going to grab a beer after work.,Trevor and Tobias are going to grab a beer after work.
"Allison: Hey girls! 
Maya: hey!
Sarah:  hey, why you so cheerful?
Allison: Guess what!
Allison: I've got a scholarship!
Maya: no way! you have made it!
Sarah: shut up!
Allison: yeee, and it is the highest posible rank i could get
Maya: we so proud, when do we celebrate!?
Sarah: <file_gif> 
Allison: Whenever you want! thank you <3",Allison has got a scholarship.,Allison has got a scholarship. Maya and Sarah are proud. Allison has a file_gif.,Allison has got a scholarship. Maya and Sarah are proud. Allison has a file_gif.
"Alex: Were you able to attend Friday night's basketball game?
Benjamin: I was unable to make it.
Alex: You should have been there. It was intense.
Benjamin: Is that right. Who ended up winning?
Alex: Our team was victorious.
Benjamin: I wish I was free that night. I'm kind of mad that I didn't go.
Alex: It was a great game. Everything alright tough?
Benjamin: Yeah man thanks for asking, it's just that my mom is sick and I am taking care of her.
Alex: Oh sorry to hear that. Hope she makes a fast recovery 💪
Benjamin: She will, she just has a nasty flu but she will be alright :D
Alex: Glad to hear that!
Benjamin: What was the score at the end of the game?
Alex: Our team won 101-98.
Benjamin: Sounds like it was a close game then.
Alex: That's the reason it was such a great game.
Benjamin: I'll go to the next one for sure.
Alex: It's next weekend so you better put on your calendar ahaha
Benjamin: ahaha I will I will. Talk to you later!
Alex: Alright! Tell your mom I hope she gets better quickly.",Benjamin didn't come to see a basketball game on Friday's night. The team supported by Alex won 101-98. Benjamin's mom has a flu and he's looking after her. Benjamin declares to attend the next basketball match.,Benjamin was unable to attend Friday night's basketball game. Benjamin's mom is sick and is taking care of her. Benjamin will go to the next game next weekend.,Benjamin was unable to attend Friday night's basketball game. His team won 101-98. Benjamin will go to the next game next weekend.
"Margaret: Honey, buy me some painkiller.
Jack: What is going on?
Margaret: Terrible headache!
Jack: Maybe you should rest!",Margaret is suffering from a terrible headache and wants Jack to buy her some painkillers. ,Jack will buy Margaret some painkiller. Margaret has a terrible headache. Jack suggests resting.,Margaret is going to buy some painkiller. Jack suggests resting.
"Charlotte: Hello Paula, a funny question: how do you pronounce 'Natal lily', the name of the plant? It refers to the region of ZA and not to the word 'natal' as in 'his natal day', right?
Paula: Hi Charlotte, 'nu tell', 'nu' as in 'number'.
Charlotte: And the stress on the second syllable? Or the first?
Paula: 2nd
Charlotte: Thank you dear.
Paula: <file_other>
Charlotte: Lovely to hear your voice!!
Paula: :$
Paula: <file_other>
Charlotte: :X","Paula helped Charlotte with correct pronunciation of ""Natal lily"".",Paula and Charlotte are talking about a plant called 'Natal lily'. It refers to the region of ZA and not to the word 'natal' as in 'his natal day'.,Paula and Charlotte are talking about a plant called 'Natal lily'. It refers to the region of ZA and not to the word 'natal' as in 'his natal day'.
"Nathalie: have you thought about the holiday?
Pauline: me & tony are into greece really
Jacob: anywhere warm and sunny. greece cool
Anthony: greece is warm sunny and cheapish
Nathalie: i guess cob we ok w that
Jacob: sure thing
Pauline: so august as we said?
Jacob: thats the thing. we need to be back by aug 10
Anthony: what?? why??
Nathalie: sis wedding
Pauline: your lil sis getting married?!? lol
Jacob: she's not little. seen her tony?
Anthony: worth a look?
Nathalie: shut up assholes. shes my sister for fucks sake
Pauline: idiots
Jacob: come one just kidding. we love you
Anthony: we have no choice XD","Nathalie, Pauline, Jacob and Anthony are thinking about spending holidays in Greece together in August. Jacob and Nathalie need to be back by August 10 because of Nathalie's younger sister's wedding. ",Nathalie and Jacob are going to Greece for the holiday. They need to be back by Aug 10. Nathalie's sister is getting married.,Nathalie and Jacob are going to Greece for the holiday. They need to be back by aug 10.
"Carmen: how are you feeling, Viola? it is so so close...
Alfred: My dearest Viola <3
Viola: I think as one's feeling before the wedding - a little bit light in the stomach! ive got some things to organize still!
Carmen: i will be on friday night, i could give you a helping hand :))
Viola: Thanks darling, i will let you know x
Carmen: (Y) my number just in case +00123456789
Viola: (Y) <3",Viola is having her wedding soon and still has some things to organize. Carmen comes on Friday and is willing to help Viola.,Viola is feeling a little light in the stomach. Viola will be on Friday night. Carmen's number is +00123456789.,Viola is feeling a little light in the stomach. Viola will be on Friday night.
"Mom: Hi, Betty, how are you?
Betty: Hi, everything's fine and you?
Mom: me too
Mom: You could call Grandpa from time to time, you know
Mom: He's always asking about you.
Betty: I know, Mom, it's just I've been so busy.
Mom: we're all busy. You don't have to talk long, just check in.
Betty: OK, I will.
Betty: ;*",Mom wants Betty to call the grandfather from time to time.,Betty will call Grandpa from time to time.,Betty will call Grandpa from time to time.
"Janet: I am ashamed. Who voted for this pussy? It's your fault.
Alison: Remember the Wizard of Oz? He might have melted.
Nicole: He’s a sissy boy.
Cheryl:  RAIN omfg thats so shameful and disrespectful 😡
Buff: Pussy in Chief.
Linda: Trump is selfish and inconsiderate.
Janet: What an embarrassment to our nation and the world!!!
Roz: Where is Elsie? I miss you vomit 😊
Cheryl: WTF EVER trumpola didnt want to mess up his pity full comb over.....
Janet: Trump = snowflake
Linda: Baby. He’s a spoiled brat baby. Nothing about Donald Trump to be proud of or want to defend.
Arlene: HIs hair and makeup would have been ruined!
Roz: Exactly 😊
Leslie: Which adviser, who he doesn't listen to anyway, thought missing this ceremony was a good idea? Shameful!
Eric: What a pussy. We should grab him and kick him to the curb.
Sue: All the other leaders managed to make it, so there is no excuse, for me.
Roz:  It's all about the hair.
Sue: afraid the colour of his orange hair would run????
Linda: Never heard of an umbrella :)","Janet, Nicole, Alison, Arlene, Leslie, Ros, Eric and Sue are all complaining about Donald Trump and his absence at the ceremony. ","Janet and Alison voted for the pussy in Chief. Donald Trump is selfish and inconsiderate. Eric, Leslie and Eric should grab Elsie and kick Elsie to the curb.","Janet and Alison voted for a pussy in Chief. Donald Trump is selfish and inconsiderate. Eric, Leslie and Eric should grab Elsie and kick him to the curb."
"Emma: You havent been back yet? and where's shake
William: I have been in que for past 20 minutes. Too much rush here
Emma: Ok Hurry up. We cant wait anymore :( 
William: Dont worry. Its my turn up next
Emma: :D 
William: Coming back in 5
Emma: Ok waiting",William is coming back in 5 minutes as he had to queue for 20 minutes.,William is coming back in 5 minutes.,William is coming back in 5 minutes.
"Leticia: would any of you have 10$ and could lend it? I'm really in need, I will gve it back as soon as possible
Lora: sure
Lora: is everything ok?
Leticia: actually no...
Leticia: I've lost my wallet, or someone stole it...i'm not sure but i always take care of my stuff so that's even more weird
Miranda: shit...that's bad
Miranda: if you need any help I'm also here
Leticia: thank you girls, really
Lora: you better call the bank and block your account
Leticia: I've already done it
Miranda: did you have like a lot of money in this wallet?
Leticia: fortunately not...you know i hate dealing with cash
Lora: at least that...
Leticia: yeah...but i'm afraid i'll have to get new documents and i have no time for that :///////////
Miranda: don't worry, maybe there will be some good person who posts it on lost/found
Leticia: I hope so",Leticia lost her wallet with cards and documents and needs to borrow 10 dollars. Miranda and Lora offer help. The girls hope somebody will find the wallet and give it back.,Leticia is in need of 10$ and could lend it to Lora. Leticia has lost her wallet or someone stole it. Miranda will call the bank and block her account. Leticia is afraid she'll have to get new documents.,Leticia is in need of 10$ and could lend it back as soon as possible. She lost her wallet or someone stole it. Miranda will call the bank and block her account. Leticia is afraid she'll have to get new documents.
"Jamilla: remember that the audition starts at 7.30 P.M.
Kiki: which station?
Jamilla: Antena 3
Yoyo: roger that",The audition starts at 7.30 P.M. in Antena 3.,The audition starts at 7.30 P.M. Kiki and Jamilla will meet at Antena 3 at 7.30 P.M.,The audition starts at 7.30 P.M. Kiki and Jamilla will meet at Antena 3 at 7.30 P.M.
"Natalie: Well well weeeeeell, I see somethings going on here at last
Martin: (Y)
Adam: any confirmed data?
Anna: Hello everyone!!! Id love to invite everybody to my bday. I would be extremaly happy if you could come 6th of November at 1930
Martin: <3
Margot: <3
Mia: (Y)",Anna organises a birthday's party on the 6th of November at 19:30.,Anna will invite everyone to her birthday on 6th of November at 1930.,Anna will invite everyone to her birthday on 6th of November at 1930.
